TransactionID,CustomerID,Timestamp,Amount (INR),Merchant,Location,DeviceID,IPAddress,TransactionType,Status,Fraud
TXN1017,CUST003,2025-04-09T08:15:38.956737,4563.66,Amazon,Bangalore,DEV161,182.75.33.80,Wire Transfer,Success,False
TXN1012,CUST005,2025-04-09T04:03:10.956715,3904.84,Reliance,Mumbai,DEV388,182.75.33.12,POS Swipe,Success,False
TXN1006,CUST002,2025-04-09T03:29:45.956692,1002.91,BigBazaar,Kolkata,DEV658,182.75.33.14,Online Purchase,Success,False
TXN1015,CUST002,2025-04-09T03:55:15.956727,1434.91,Flipkart,Delhi,DEV532,103.24.77.55,POS Swipe,Success,False
TXN1013,CUST005,2025-04-09T06:52:30.956720,2253.72,BigBazaar,Hyderabad,DEV214,103.24.77.163,POS Swipe,Success,False
TXN1007,CUST004,2025-04-09T06:32:32.956698,3057.43,Reliance,Chennai,DEV155,182.75.33.124,App Payment,Success,False
TXN1011,CUST002,2025-04-09T06:29:43.956710,3983.16,Amazon,Chennai,DEV634,103.24.77.98,POS Swipe,Success,False
TXN1010,CUST001,2025-04-09T01:14:51.956706,2582.44,BigBazaar,Bangalore,DEV713,103.24.77.134,Online Purchase,Success,False
TXN1019,CUST002,2025-04-09T04:59:11.956746,4783.89,Flipkart,Delhi,DEV352,103.24.77.101,POS Swipe,Success,False
TXN1003,CUST003,2025-04-09T04:59:04.956677,1483.88,Amazon,Delhi,DEV783,103.24.77.191,POS Swipe,Success,False
TXN1004,CUST001,2025-04-09T06:01:10.956683,88755.31,Unknown Merchant,Nigeria,DEV948,10.0.0.143,Wire Transfer,Success,True
TXN1016,CUST005,2025-04-09T07:28:15.956731,69054.46,FakeApp,Nigeria,DEV981,10.0.0.125,Wire Transfer,Pending,True
TXN1009,CUST005,2025-04-09T04:41:57.956703,98177.11,Unknown Merchant,Nigeria,DEV942,10.0.0.15,Online Purchase,Success,True
TXN1001,CUST003,2025-04-09T01:20:03.956666,81274.02,FakeApp,Unknown,DEV950,10.0.0.241,Wire Transfer,Success,True
TXN1008,CUST001,2025-04-09T01:34:32.956700,87267.97,Unknown Merchant,Nigeria,DEV922,10.0.0.153,App Payment,Failed,True
TXN1005,CUST003,2025-04-09T08:11:30.956687,94066.23,FakeApp,Unknown,DEV906,10.0.0.59,Wire Transfer,Pending,True
TXN1014,CUST001,2025-04-09T02:50:55.956724,96521.18,Unknown Merchant,Nigeria,DEV926,10.0.0.9,Wire Transfer,Success,True
TXN1002,CUST004,2025-04-09T02:27:53.956670,89661.38,FakeApp,Nigeria,DEV977,10.0.0.179,Wire Transfer,Pending,True
TXN1018,CUST005,2025-04-09T02:31:38.956742,94175.56,Unknown Merchant,Unknown,DEV900,10.0.0.178,App Payment,Failed,True
TXN1020,CUST001,2025-04-09T08:28:14.956750,95874.39,FakeApp,Nigeria,DEV975,10.0.0.168,Wire Transfer,Success,True
